County or Equivalent,Key,County,state,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Religious adherence,Adherent percentage Rank,Congregations Per 10K People,Con Per 10K Rank
"Los Angeles, CA",Los Angeles|California,Los Angeles,California,9818605,1,5214110,1,5773,1,53.1,1304,5.88,3064
"New York City, NY",New York City|New York,New York City,New York,8175133,2,3917150,2,4415,2,47.92,1666,5.4,3090
"Cook, IL",Cook|Illinois,Cook,Illinois,5194675,3,3097119,3,3354,3,59.62,894,6.46,3026
"Harris, TX",Harris|Texas,Harris,Texas,4092459,4,2389775,4,3031,4,58.39,973,7.41,2934
"Dallas, TX",Dallas|Texas,Dallas,Texas,2368139,9,1455158,6,2336,5,61.45,806,9.86,2727
"Maricopa, AZ",Maricopa|Arizona,Maricopa,Arizona,3817117,5,1491480,5,2299,6,39.07,2284,6.02,3056
"San Diego, CA",San Diego|California,San Diego,California,3095313,6,1359377,8,1720,7,43.92,1942,5.56,3080
"Tarrant, TX",Tarrant|Texas,Tarrant,Texas,1809034,15,998849,10,1695,8,55.21,1163,9.37,2770
"Salt Lake, UT",Salt Lake|Utah,Salt Lake,Utah,1029655,35,754089,19,1671,9,73.24,332,16.23,2104
"Orange, CA",Orange|California,Orange,California,3010232,7,1377585,7,1519,10,45.76,1828,5.05,3102
"King, WA",King|Washington,King,Washington,1931249,13,726669,22,1459,11,37.63,2377,7.55,2920
"Miami-Dade, FL",Miami-Dade|Florida,Miami-Dade,Florida,2496435,8,992522,11,1437,12,39.76,2238,5.76,3073
"Utah, UT",Utah|Utah,Utah,Utah,516564,120,469813,50,1340,13,90.95,49,25.94,1154
"Wayne, MI",Wayne|Michigan,Wayne,Michigan,1820584,14,788507,17,1330,14,43.31,1977,7.31,2950
"Philadelphia, PA",Philadelphia|Pennsylvania,Philadelphia,Pennsylvania,1526006,19,744268,20,1292,15,48.77,1613,8.47,2844
"San Bernardino, CA",San Bernardino|California,San Bernardino,California,2035210,11,813804,16,1274,16,39.99,2221,6.26,3040
"Jefferson, AL",Jefferson|Alabama,Jefferson,Alabama,658466,90,552254,34,1198,17,83.87,119,18.19,1899
"Bexar, TX",Bexar|Texas,Bexar,Texas,1714773,18,967735,13,1189,18,56.44,1089,6.93,2991
